Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889","$620,181,382",46.5%,"$712,358,507",53.5%
2,Beauty and the Beast,"$1,263,521,126","$504,014,165",39.9%,"$759,506,961",60.1%
3,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%
4,Despicable Me 3,"$1,034,799,409","$264,624,300",25.6%,"$770,175,109",74.4%
5,Jumanji: Welcome to the Jungle,"$962,077,546","$404,515,480",42%,"$557,562,066",58%
6,Spider-Man: Homecoming,"$880,166,924","$334,201,140",38%,"$545,965,784",62%
7,Wolf Warrior 2,"$870,325,439","$2,721,100",0.3%,"$867,604,339",99.7%
8,Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.1%,"$473,942,950",54.9%
9,Thor: Ragnarok,"$853,977,126","$315,058,289",36.9%,"$538,918,837",63.1%
10,Wonder Woman,"$821,847,012","$412,563,408",50.2%,"$409,283,604",49.8%
11,Coco,"$807,816,196","$210,460,015",26.1%,"$597,356,181",73.9%
12,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794","$172,558,876",21.7%,"$622,302,918",78.3%
13,It,"$700,381,748","$327,481,748",46.8%,"$372,900,000",53.2%
14,Justice League,"$657,924,295","$229,024,295",34.8%,"$428,900,000",65.2%
15,Logan,"$619,021,436","$226,277,068",36.6%,"$392,744,368",63.4%
16,Transformers: The Last Knight,"$605,425,157","$130,168,683",21.5%,"$475,256,474",78.5%
17,Kong: Skull Island,"$566,652,812","$168,052,812",29.7%,"$398,600,000",70.3%
18,The Boss Baby,"$527,965,936","$175,003,033",33.1%,"$352,962,903",66.9%
19,Dunkirk,"$525,245,546","$188,045,546",35.8%,"$337,200,000",64.2%
20,War for the Planet of the Apes,"$490,719,763","$146,880,162",29.9%,"$343,839,601",70.1%
21,The Greatest Showman,"$434,993,183","$174,340,174",40.1%,"$260,653,009",59.9%
22,Kingsman: The Golden Circle,"$410,902,662","$100,234,838",24.4%,"$310,667,824",75.6%
23,The Mummy,"$409,231,607","$80,227,895",19.6%,"$329,003,712",80.4%
24,Cars 3,"$383,930,656","$152,901,115",39.8%,"$231,029,541",60.2%
25,Fifty Shades Darker,"$381,545,846","$114,581,250",30%,"$266,964,596",70%
26,Murder on the Orient Express,"$352,789,811","$102,826,543",29.1%,"$249,963,268",70.9%
27,xXx: Return of Xander Cage,"$346,118,277","$44,898,413",13%,"$301,219,864",87%
28,The Lego Batman Movie,"$311,950,384","$175,750,384",56.3%,"$136,200,000",43.7%
29,The Ex-File 3: The Return of The Exes,"$307,592,427","$838,959",0.3%,"$306,753,468",99.7%
30,Annabelle: Creation,"$306,515,884","$102,092,201",33.3%,"$204,423,683",66.7%
31,Wonder,"$305,937,718","$132,422,809",43.3%,"$173,514,909",56.7%
32,Ferdinand,"$296,069,199","$84,410,380",28.5%,"$211,658,819",71.5%
33,Split,"$278,454,358","$138,291,365",49.7%,"$140,162,993",50.3%
34,Blade Runner 2049,"$259,239,658","$92,054,159",35.5%,"$167,185,499",64.5%
35,Kung Fu Yoga,"$257,743,016","$362,657",0.1%,"$257,380,359",99.9%
36,Get Out,"$255,407,969","$176,040,665",68.9%,"$79,367,304",31.1%
37,Baahubali 2: The Conclusion,"$254,158,390","$20,186,659",7.9%,"$233,971,731",92.1%
38,Journey to the West: The Demons Strike Back,"$247,585,244","$880,346",0.4%,"$246,704,898",99.6%
39,Alien: Covenant,"$240,891,763","$74,262,031",30.8%,"$166,629,732",69.2%
40,Paddington 2,"$227,978,523","$40,891,591",17.9%,"$187,086,932",82.1%
41,Youth,"$227,091,290","$1,891,956",0.8%,"$225,199,334",99.2%
42,Baby Driver,"$226,945,087","$107,825,862",47.5%,"$119,119,225",52.5%
43,Valerian and the City of a Thousand Planets,"$225,874,228","$41,189,488",18.2%,"$184,684,740",81.8%
44,Geostorm,"$221,600,160","$33,700,160",15.2%,"$187,900,000",84.8%
45,The Emoji Movie,"$217,776,646","$86,089,513",39.5%,"$131,687,133",60.5%
46,A Dog's Purpose,"$205,035,819","$64,508,620",31.5%,"$140,527,199",68.5%
47,Smurfs: The Lost Village,"$197,183,546","$45,020,282",22.8%,"$152,163,264",77.2%
48,The Shape of Water,"$195,333,312","$63,859,435",32.7%,"$131,473,877",67.3%
49,Pitch Perfect 3,"$185,400,345","$104,897,530",56.6%,"$80,502,815",43.4%
50,Daddy's Home 2,"$180,613,180","$104,029,443",57.6%,"$76,583,737",42.4%
51,The Post,"$179,769,457","$81,903,458",45.6%,"$97,865,999",54.4%
52,Baywatch,"$177,856,751","$58,060,186",32.6%,"$119,796,565",67.4%
53,The Hitman's Bodyguard,"$176,586,701","$75,468,583",42.7%,"$101,118,118",57.3%
54,John Wick: Chapter 2,"$171,539,887","$92,029,184",53.6%,"$79,510,703",46.4%
55,Ghost in the Shell,"$169,801,921","$40,563,557",23.9%,"$129,238,364",76.1%
56,"Three Billboards Outside Ebbing, Missouri","$160,192,031","$54,513,740",34%,"$105,678,291",66%
57,Duckweed,"$152,894,264","$471,575",0.3%,"$152,422,689",99.7%
58,Darkest Hour,"$150,847,207","$56,468,410",37.4%,"$94,378,797",62.6%
59,King Arthur: Legend of the Sword,"$148,675,066","$39,175,066",26.3%,"$109,500,000",73.7%
60,The Foreigner,"$145,374,099","$34,393,507",23.7%,"$110,980,592",76.3%
61,Power Rangers,"$142,337,240","$85,364,450",60%,"$56,972,790",40%
62,Girls Trip,"$140,552,359","$115,171,585",81.9%,"$25,380,774",18.1%
63,American Made,"$134,866,593","$51,342,000",38.1%,"$83,524,593",61.9%
64,A Bad Moms Christmas,"$130,560,428","$72,110,659",55.2%,"$58,449,769",44.8%
65,Happy Death Day,"$125,479,266","$55,683,845",44.4%,"$69,795,421",55.6%
66,Captain Underpants: The First Epic Movie,"$125,427,681","$73,921,000",58.9%,"$51,506,681",41.1%
67,The Lego Ninjago Movie,"$123,081,555","$59,281,555",48.2%,"$63,800,000",51.8%
68,Secret Superstar,"$122,026,260",-,-,"$122,026,260",100%
69,The Commuter,"$119,942,387","$36,343,858",30.3%,"$83,598,529",69.7%
70,The Dark Tower,"$113,231,078","$50,701,325",44.8%,"$62,529,753",55.2%
71,Buddies in India,"$110,155,128","$293,194",0.3%,"$109,861,934",99.7%
72,Along With the Gods: The Two Worlds,"$109,383,972","$1,908,823",1.7%,"$107,475,149",98.3%
73,Jigsaw,"$102,952,888","$38,052,832",37%,"$64,900,056",63%
74,Life,"$100,541,806","$30,234,022",30.1%,"$70,307,784",69.9%
75,Atomic Blonde,"$100,014,025","$51,687,870",51.7%,"$48,326,155",48.3%
76,The Shack,"$96,942,115","$57,386,418",59.2%,"$39,555,697",40.8%
77,Chasing the Dragon,"$87,965,942","$456,854",0.5%,"$87,509,088",99.5%
78,Tiger Zinda Hai,"$87,320,000","$5,560,921",6.4%,"$81,759,079",93.6%
79,A Taxi Driver,"$86,252,940","$1,527,829",1.8%,"$84,725,111",98.2%
80,Going in Style,"$84,918,541","$45,018,541",53%,"$39,900,000",47%
81,Rings,"$83,080,890","$27,793,018",33.5%,"$55,287,872",66.5%
82,Once Upon A Time,"$82,886,178","$485,728",0.6%,"$82,400,450",99.4%
83,Lady Bird,"$78,965,611","$48,958,273",62%,"$30,007,338",38%
84,The Nut Job 2: Nutty by Nature,"$68,743,485","$28,370,522",41.3%,"$40,372,963",58.7%
85,American Assassin,"$67,234,188","$36,249,674",53.9%,"$30,984,514",46.1%
86,Victoria & Abdul,"$66,558,465","$22,245,070",33.4%,"$44,313,395",66.6%
87,The Mountain Between Us,"$62,832,209","$30,348,555",48.3%,"$32,483,654",51.7%
88,The Star,"$62,812,974","$40,852,824",65%,"$21,960,150",35%
89,How to Be a Latin Lover,"$62,547,032","$32,149,404",51.4%,"$30,397,628",48.6%
90,47 Meters Down,"$62,187,529","$44,307,191",71.2%,"$17,880,338",28.8%
91,"Everything, Everything","$61,621,140","$34,121,140",55.4%,"$27,500,000",44.6%
